Project Phase Name,Start Date, End Date,Project Duration,Project Budget Amount,EAC,Overrun,Budget overrun / Saved %
Scope,29/09/2023,11/09/2023,18,173903,126197,0,-0.27
Design,20/12/2023,05/07/2024,198,869516,327324,0,-0.62
Scope,18/02/2020,27/04/2020,69,96801,160961,1,0.66
Design,28/04/2020,29/10/2020,184,484003,652304,1,0.35
Scope,05/10/2024,18/11/2024,44,171414,215468,1,0.26
Scope,07/11/2022,18/08/2022,81,3986,4266,1,0.07
Design,18/08/2022,25/10/2022,68,17936,17065,0,-0.05
Scope,01/08/2024,27/09/2024,57,79135,99521,1,0.26
Scope,04/09/2021,14/06/2021,82,75000,126791,1,0.69
Design,16/06/2021,11/04/2021,66,375000,611339,1,0.63
Scope,01/11/2023,24/01/2023,281,2412,2489,1,0.03
Design,24/01/2023,04/11/2023,284,10852,9956,0,-0.08
Scope,29/06/2023,13/10/2023,106,8560,16151,1,0.89
Design,25/10/2023,20/03/2024,147,38520,81961,1,1.13
Scope,24/01/2023,13/02/2023,20,4119,3836,0,-0.07
Design,13/02/2023,04/11/2023,264,18537,15348,0,-0.17
Scope,07/08/2019,10/03/2019,150,173003,185981,1,0.08
Design,03/03/2021,27/03/2023,754,865016,1051025,1,0.22
Scope,05/04/2023,11/07/2023,97,58698,102511,1,0.75
Design,27/11/2023,29/04/2024,154,285575,223431,0,-0.22
Scope,07/12/2022,31/01/2023,55,211757,218273,1,0.03
Design,02/03/2023,11/01/2023,50,1058784,583314,0,-0.45
Scope,02/08/2023,03/02/2023,180,3369,3637,1,0.08
Design,03/02/2023,04/11/2023,274,15160,14550,0,-0.04
Scope,09/08/2021,28/12/2021,141,136319,190017,1,0.39
Design,02/02/2022,11/10/2022,251,681596,561777,0,-0.18
Scope,22/12/2022,13/12/2023,356,273180,367186,1,0.34
Design,20/12/2023,05/08/2024,229,1365900,1554707,1,0.14
Scope,22/05/2023,13/06/2023,22,3810,947,0,-0.75
Design,13/06/2023,16/08/2023,64,17145,3788,0,-0.78
Scope,03/01/2023,03/09/2023,243,5310,1558,0,-0.71
Design,03/09/2023,05/03/2023,182,23895,6233,0,-0.74
Scope,07/08/2019,10/03/2019,150,136097,218169,1,0.60
