Project Phase Name,Start Date, End Date,Project Duration,Project Budget Amount,EAC,Overrun,Budget overrun / Saved %
Design,09/05/2019,03/10/2020,513,28617,27289,0,-0.05
Design,20/01/2022,22/07/2022,183,82335,96085,1,0.17
Scope,28/06/2022,02/02/2023,219,88790,175614,1,0.98
Design,13/02/2023,05/10/2023,234,443950,489484,1,0.10
Construction,15/08/2023,25/07/2025,710,9988876,9105010,0,-0.09
Design,28/06/2024,09/06/2024,19,48000,91067,1,0.90
Design,02/05/2020,14/05/2020,12,27818,39083,1,0.40
Scope,28/06/2024,07/08/2024,40,3935,2038,0,-0.48
Design,07/08/2024,01/08/2025,359,17707,8149,0,-0.54
Scope,03/02/2023,20/06/2024,503,86111,135062,1,0.57
Design,25/06/2024,24/09/2024,91,414661,434222,1,0.05
Scope,17/03/2022,13/01/2023,302,108367,167397,1,0.54
Design,18/01/2023,05/09/2023,230,534877,454094,0,-0.15
Scope,01/08/2024,26/09/2024,56,47902,67928,1,0.42
Design,10/07/2024,16/04/2025,280,223543,159904,0,-0.28
Scope,04/01/2024,17/10/2024,287,5350,1759,0,-0.67
Design,30/10/2024,16/04/2025,168,21400,16957,0,-0.21
Scope,07/03/2024,07/09/2024,184,3805,2037,0,-0.46
Design,07/09/2024,01/08/2025,328,17123,8148,0,-0.52
Scope,18/05/2023,11/01/2023,127,325236,250094,0,-0.23
Design,11/08/2023,18/09/2024,404,1517765,675406,0,-0.55
Scope,05/07/2025,06/05/2025,60,194637,129905,0,-0.33
Scope,12/05/2023,04/09/2024,481,1213,1213,1,0.00
Scope,17/07/2024,23/07/2024,6,4016,1453,0,-0.64
Design,23/07/2024,21/01/2025,182,18072,5812,0,-0.68
Scope,28/07/2021,08/02/2023,560,78240,80192,1,0.02
Design,08/08/2023,31/01/2024,176,391201,471732,1,0.21
Design,30/10/2024,16/09/2025,321,160923,91687,0,-0.43
Scope,21/01/2025,28/05/2025,127,26781,26781,1,0.00
Design,06/03/2025,16/09/2025,194,9574,9574,1,0.00
Scope,08/04/2023,23/10/2023,198,34200,49364,1,0.44
Design,11/01/2023,26/03/2024,440,171000,147043,0,-0.14
Scope,14/03/2019,03/10/2020,569,22890,114350,1,4.00
Design,03/11/2020,30/06/2020,126,114450,184514,1,0.61
Design,26/06/2023,15/05/2024,324,380450,287257,0,-0.24
Design,30/11/2023,15/05/2024,167,550,10321,1,17.77
Design,31/07/2023,18/10/2023,79,24000,9293,0,-0.61
Design,20/10/2023,15/04/2024,178,155400,136913,0,-0.12
Scope,07/10/2025,31/07/2025,68,2169,1758,0,-0.19
Scope,21/04/2025,05/09/2025,137,3856,5227,1,0.36
Scope,06/10/2025,15/07/2025,83,57,57,1,0.00
Scope,19/09/2022,27/09/2022,8,2847,3871,1,0.36
Design,27/09/2022,01/11/2023,400,12812,15481,1,0.21
Design,14/08/2023,30/09/2025,778,660000,238906,0,-0.64
Scope,20/09/2022,29/09/2022,9,6272,3036,0,-0.52
Design,29/09/2022,01/11/2023,398,28224,12143,0,-0.57
Design,29/02/2024,05/01/2024,55,30000,40144,1,0.34
Scope,14/03/2023,02/05/2024,415,108500,308029,1,1.84
Design,20/02/2024,16/05/2024,86,542500,188630,0,-0.65
Scope,14/06/2024,16/09/2024,94,197516,129791,0,-0.34
Design,29/10/2024,03/05/2025,186,921738,388527,0,-0.58
Scope,28/04/2022,20/07/2022,83,85953,85953,1,0.00
Scope,02/07/2020,08/04/2023,1010,223330,166548,0,-0.25
Design,30/08/2023,04/11/2024,432,1116650,681985,0,-0.39
Design,11/04/2024,26/03/2025,349,54000,63957,1,0.18
Scope,05/03/2023,28/10/2024,603,70347,169500,1,1.41
Scope,19/07/2022,20/01/2023,185,1788220,884924,0,-0.51
Design,23/01/2023,14/05/2024,477,8046990,3874287,0,-0.52
Scope,26/01/2023,26/01/2023,1,42240,13331,0,-0.68
Design,26/01/2023,12/08/2023,198,211200,286555,1,0.36
Construction,22/07/2024,17/04/2025,269,4752000,4817298,1,0.01
Scope,10/10/2024,04/07/2025,267,1398070,1149197,0,-0.18
Scope,31/10/2024,31/10/2024,1,93715,6828,0,-0.93
Design,31/10/2024,19/09/2025,323,437335,84653,0,-0.81
Scope,28/04/2025,08/05/2025,10,16707,16707,1,0.00
Design,30/11/2023,17/04/2025,504,219946,313434,1,0.43
Design,18/01/2023,05/05/2023,107,72000,80475,1,0.12
Construction,29/11/2023,23/05/2025,541,1056000,614024,0,-0.42
Scope,16/07/2024,23/07/2024,7,3144,1731,0,-0.45
Design,23/07/2024,21/01/2025,182,14148,6925,0,-0.51
Scope,19/07/2019,11/06/2019,38,21987,21766,0,-0.01
Design,13/11/2019,05/12/2021,753,109937,124195,1,0.13
Scope,03/10/2025,13/03/2025,204,3770,9843,1,1.61
Design,13/03/2025,09/10/2025,210,15079,39370,1,1.61
Scope,15/12/2023,24/05/2024,161,97215,125598,1,0.29
Design,06/11/2024,25/03/2025,139,453669,327035,0,-0.28
Design,25/04/2024,24/07/2025,455,40860,51932,1,0.27
Scope,14/06/2023,11/09/2023,89,71503,117077,1,0.64
Design,20/11/2023,15/05/2024,177,348241,414102,1,0.19
Design,29/01/2020,05/06/2020,128,20174,27646,1,0.37
Scope,25/05/2023,06/07/2023,42,3490,2057,0,-0.41
Design,06/07/2023,18/10/2023,104,15705,8228,0,-0.48
Scope,19/07/2024,12/06/2024,37,129963,138772,1,0.07
Scope,30/04/2025,05/01/2025,115,3200,2273,0,-0.29
Scope,17/10/2022,19/04/2023,184,15993,40243,1,1.52
Design,19/04/2023,05/12/2023,230,71969,95226,1,0.32
Construction,02/05/2024,16/07/2025,440,927594,1005917,1,0.08
Scope,15/10/2024,18/10/2024,3,3600,620,0,-0.83
Design,18/10/2024,03/06/2025,228,16200,2481,0,-0.85
Scope,17/06/2022,03/09/2023,443,120306,110918,0,-0.08
Design,03/10/2023,05/12/2023,63,601528,417482,0,-0.31
Scope,13/12/2023,13/09/2024,275,62238,60221,0,-0.03
Scope,28/05/2025,15/09/2025,110,260206,55351,0,-0.79
Scope,06/01/2018,05/02/2022,1491,17296,4607,0,-0.73
Design,05/02/2022,05/02/2022,1,63419,65962,1,0.04
Design,28/08/2024,04/02/2025,160,39000,49422,1,0.27
Scope,19/10/2020,14/04/2021,177,1067475,725291,0,-0.32
Design,15/04/2021,16/09/2022,519,4803640,2880859,0,-0.40
Scope,14/10/2022,23/10/2023,374,195437,181375,0,-0.07
Design,25/10/2023,08/12/2025,775,900140,448633,0,-0.50
Scope,14/10/2022,23/10/2023,374,5774,5774,1,0.00
Design,25/10/2023,31/07/2025,645,2827,2827,1,0.00
Scope,04/11/2023,20/12/2023,46,19293,59002,1,2.06
Design,01/02/2024,05/07/2024,155,96467,174762,1,0.81
Scope,07/09/2024,14/11/2024,68,79736,114815,1,0.44
Scope,04/03/2024,09/11/2024,250,94300,59655,0,-0.37
Design,17/09/2024,17/09/2025,365,431943,72882,0,-0.83
Scope,25/10/2024,11/04/2024,197,3080,337,0,-0.89
Design,11/04/2024,03/06/2025,418,13860,1347,0,-0.90
Scope,23/01/2024,07/12/2024,319,141288,104492,0,-0.26
Design,16/10/2024,29/07/2025,286,656195,313507,0,-0.52
Scope,21/05/2025,21/05/2025,1,5178,3600,0,-0.30
Design,17/01/2024,05/06/2024,140,45000,99332,1,1.21
Scope,22/05/2020,21/10/2020,152,273270,296296,1,0.08
Design,27/10/2020,07/01/2021,72,1366350,669051,0,-0.51
Construction,22/02/2022,03/04/2025,1136,30742876,28142374,0,-0.08
Scope,17/10/2022,06/01/2023,81,23099,62682,1,1.71
Design,06/01/2023,12/07/2023,187,111899,290877,1,1.60
Design,20/04/2023,05/12/2023,229,180168,135685,0,-0.25
Scope,08/07/2025,14/08/2025,37,4080,481,0,-0.88
Scope,18/08/2020,16/11/2020,90,96030,128436,1,0.34
Design,18/11/2020,02/03/2021,104,480151,529530,1,0.10
Scope,21/08/2024,23/01/2025,155,73273,63087,0,-0.14
Scope,22/07/2021,14/01/2022,176,95580,104708,1,0.10
Design,14/01/2022,07/12/2022,327,477900,921557,1,0.93
Scope,26/07/2021,18/11/2021,115,269000,313820,1,0.17
Design,12/01/2021,05/10/2022,631,1345001,833248,0,-0.38
Design,16/09/2024,12/04/2024,157,122629,103016,0,-0.16
Scope,14/06/2024,11/07/2024,27,24040,54292,1,1.26
Design,29/01/2025,14/04/2025,75,24371,8826,0,-0.64
Scope,03/08/2021,11/12/2021,130,255795,281991,1,0.10
Design,12/02/2021,22/09/2022,587,1265251,973776,0,-0.23
Design,15/06/2021,11/01/2021,155,20657,60318,1,1.92
Construction,28/11/2022,23/07/2025,968,302971,95679,0,-0.68
Scope,19/01/2022,14/03/2023,419,32289,130814,1,3.05
Design,15/03/2023,26/04/2023,42,158330,165443,1,0.04
Scope,24/01/2022,08/12/2022,318,68310,63413,0,-0.07
Design,24/08/2022,05/12/2023,468,341550,278254,0,-0.19
Scope,30/05/2024,29/01/2025,244,71487,1351,0,-0.98
Scope,17/06/2024,29/01/2025,226,102733,2313,0,-0.98
Design,03/10/2025,13/08/2025,51,479418,203071,0,-0.58
Scope,24/03/2022,04/12/2022,255,3008,3685,1,0.23
Design,04/12/2022,27/07/2022,130,13537,14741,1,0.09
Scope,17/06/2024,29/01/2025,226,212,212,1,0.00
Design,03/10/2025,08/06/2025,117,34005,34005,1,0.00
Design,14/05/2024,26/07/2024,73,40356,56647,1,0.40
Scope,08/05/2020,28/05/2021,385,64200,92974,1,0.45
Design,06/08/2021,23/11/2021,109,321000,323149,1,0.01
Scope,06/09/2022,25/10/2022,49,499900,370113,0,-0.26
Design,11/08/2022,05/08/2023,359,2499499,736232,0,-0.71
Scope,27/05/2022,12/05/2023,350,360213,220637,0,-0.39
Design,20/12/2023,13/05/2024,145,1706295,944808,0,-0.45
Scope,29/06/2018,12/11/2018,136,174630,566398,1,2.24
Design,17/09/2019,10/05/2020,236,873151,2075251,1,1.38
Scope,18/03/2021,14/01/2022,302,195096,183464,0,-0.06
Design,18/01/2022,05/11/2022,291,966382,690665,0,-0.29
Scope,03/10/2022,30/08/2022,34,117480,103650,0,-0.12
Design,09/06/2022,05/09/2023,453,587400,421689,0,-0.28
Design,21/08/2023,05/08/2024,350,724434,489687,0,-0.32
Scope,06/03/2025,07/08/2025,154,74074,558895,1,6.55
Scope,15/04/2025,28/08/2025,135,2165935,519824,0,-0.76
Scope,15/04/2025,15/04/2025,1,47159,65646,1,0.39
Scope,13/11/2012,25/03/2013,132,162009,151445,0,-0.07
Design,14/04/1930,28/02/2014,30636,633969,692652,1,0.09
Scope,18/01/2023,10/03/2024,417,41679,41771,1,0.00
Design,10/08/2024,31/03/2025,233,194502,155020,0,-0.20
Scope,21/05/2024,12/06/2024,22,107968,60138,0,-0.44
Scope,06/08/2021,25/01/2022,172,94105,56346,0,-0.40
Design,02/02/2022,27/01/2023,359,470523,425790,0,-0.10
Scope,11/08/2023,13/06/2024,307,712,18548,1,25.05
Scope,07/11/2019,31/01/2020,85,112064,210464,1,0.88
Design,02/03/2020,03/02/2022,703,551088,702403,1,0.27
Scope,13/11/2024,21/11/2024,8,3058,5566,1,0.82
Design,21/11/2024,13/03/2025,112,13762,22264,1,0.62
Scope,30/09/2021,24/01/2022,116,15435,116168,1,6.53
Design,02/02/2022,05/11/2022,276,77175,81889,1,0.06
Scope,23/01/2023,30/03/2023,66,7040,11948,1,0.70
Design,04/10/2023,08/02/2023,238,31680,38851,1,0.23
Construction,02/01/2024,23/05/2025,507,408320,370258,0,-0.09
Scope,29/10/2024,11/04/2024,201,3382,5782,1,0.71
Design,11/04/2024,13/03/2025,336,15218,23129,1,0.52
Scope,14/06/2022,01/09/2023,444,85652,144209,1,0.68
Design,18/01/2023,05/12/2023,321,397256,222600,0,-0.44
Scope,08/12/2020,21/08/2020,109,4730,2851,0,-0.40
Design,21/08/2020,31/03/2021,222,21284,11405,0,-0.46
Scope,08/08/2023,22/08/2023,14,4300,2318,0,-0.46
Design,22/08/2023,29/11/2023,99,19350,9271,0,-0.52
Scope,01/07/2021,22/12/2021,174,41250,95843,1,1.32
Design,23/12/2021,24/08/2022,244,206250,327264,1,0.59
Design,11/07/2022,28/12/2022,170,105668,87166,0,-0.18
Scope,02/03/2020,10/08/2021,526,12477,25656,1,1.06
Design,26/10/2021,25/10/2022,364,56144,69663,1,0.24
Scope,10/10/2018,28/03/2019,169,319702,240913,0,-0.25
Design,28/03/2019,17/05/2019,50,1275345,795423,0,-0.38
Scope,15/02/2019,25/03/2021,769,13687,34857,1,1.55
Design,04/05/2021,01/07/2022,423,61592,153259,1,1.49
Scope,13/01/2023,21/12/2023,342,21711,73958,1,2.41
Design,28/12/2023,05/01/2024,8,108204,158039,1,0.46
Scope,03/09/2023,16/03/2023,171,7180,2671,0,-0.63
Design,16/03/2023,05/02/2023,39,32310,10683,0,-0.67
Scope,24/05/2024,10/09/2024,109,77797,94687,1,0.22
Scope,03/09/2023,14/03/2023,173,4880,1891,0,-0.61
Design,14/03/2023,05/02/2023,37,21960,7561,0,-0.66
Scope,13/02/2019,19/02/2020,371,89700,257483,1,1.87
Design,04/12/2021,02/03/2022,88,442641,588911,1,0.33
Scope,20/06/2024,29/10/2024,131,162341,231378,1,0.43
Design,29/11/2024,04/09/2025,279,753123,543774,0,-0.28
Scope,14/06/2024,10/02/2024,125,263200,138578,0,-0.47
Design,29/10/2024,28/03/2025,150,1224833,406931,0,-0.67
Scope,24/09/2020,01/12/2021,433,92200,101512,1,0.10
Design,14/01/2021,12/07/2021,179,461000,395131,0,-0.14
Scope,28/06/2024,27/03/2025,272,23576,57256,1,1.43
Design,28/03/2025,16/04/2025,19,108852,115443,1,0.06
Scope,23/07/2024,26/09/2024,65,298623,208050,0,-0.30
Design,11/06/2024,05/09/2025,451,1384964,741951,0,-0.46
Scope,08/07/2024,09/05/2024,60,3010,2534,0,-0.16
Design,09/05/2024,03/06/2025,390,13545,10136,0,-0.25
Scope,30/08/2016,13/10/2016,44,134195,143586,1,0.07
Design,26/10/2016,26/04/2017,182,530645,525518,0,-0.01
Construction,16/04/2018,05/06/2024,2242,9399158,9112423,0,-0.03
Scope,08/10/2021,30/11/2021,53,72720,103716,1,0.43
Design,15/12/2021,07/01/2022,23,363600,848388,1,1.33
Construction,18/09/2023,16/09/2025,729,8181000,8385118,1,0.02
Scope,20/12/2022,25/01/2023,36,7315,4588,0,-0.37
Design,25/01/2023,19/04/2023,84,32918,18352,0,-0.44
Scope,09/06/2024,09/12/2024,183,3240,2227,0,-0.31
Design,09/12/2024,13/03/2025,94,14580,8909,0,-0.39
Scope,06/12/2023,22/09/2023,75,12387,15695,1,0.27
Design,10/04/2023,04/04/2024,360,55743,56580,1,0.02
Scope,22/07/2020,27/07/2020,5,5317,3872,0,-0.27
Design,27/07/2020,30/03/2021,246,23925,15488,0,-0.35
Scope,25/07/2024,10/11/2024,108,281178,152828,0,-0.46
Design,25/11/2024,14/04/2025,140,1291797,391426,0,-0.70
Scope,09/11/2024,10/11/2024,1,751407,306039,0,-0.59
Design,11/06/2024,15/08/2025,430,3506568,1251283,0,-0.64
Scope,22/07/2020,27/07/2020,5,5214,4128,0,-0.21
Design,27/07/2020,05/05/2021,282,23461,16512,0,-0.30
Scope,16/06/2022,05/05/2023,323,31639,47546,1,0.50
Design,05/08/2023,05/12/2023,122,157666,139708,0,-0.11
Scope,17/01/2023,02/02/2023,16,4985,2738,0,-0.45
Design,02/02/2023,19/04/2023,76,22433,10950,0,-0.51
Scope,08/06/2024,23/12/2024,198,31716,73744,1,1.33
Design,23/01/2025,16/04/2025,83,148010,185934,1,0.26
Scope,17/04/1962,23/04/1940,8029,247379,200864,0,-0.19
Design,15/08/2016,21/04/2017,249,982671,890476,0,-0.09
Construction,08/06/2018,21/10/2024,2327,17810761,18124863,1,0.02
Scope,13/04/2021,29/07/2022,472,101545,113996,1,0.12
Design,08/09/2022,10/05/2022,121,507289,402403,0,-0.21
Scope,03/05/2024,25/03/2024,39,3150,1927,0,-0.39
Design,25/03/2024,13/08/2024,141,14175,7710,0,-0.46
Scope,09/03/2025,09/10/2025,214,3553,941,0,-0.74
Design,06/05/2023,01/10/2024,514,48000,74199,1,0.55
Construction,15/07/2024,28/04/2025,287,704000,632431,0,-0.10
Scope,23/09/2024,11/12/2024,79,622980,201623,0,-0.68
Design,16/12/2024,17/06/2025,183,2895182,645794,0,-0.78
Scope,31/01/2024,25/03/2024,54,3150,1987,0,-0.37
Design,25/03/2024,13/08/2024,141,14175,7948,0,-0.44
Scope,02/11/2022,15/02/2024,470,248625,414888,1,0.67
Design,16/02/2024,18/09/2024,215,1230504,1239852,1,0.01
Scope,22/08/2024,09/06/2024,74,3288,254,0,-0.92
Design,09/06/2024,03/06/2025,359,14796,1014,0,-0.93
Scope,20/05/2022,30/11/2022,194,136640,197210,1,0.44
Design,20/12/2022,05/12/2023,350,683200,551269,0,-0.19
Scope,14/06/2023,29/06/2023,15,4240,1499,0,-0.65
Design,29/06/2023,27/09/2023,90,19080,6298,0,-0.67
Scope,06/12/2019,24/09/2021,658,144440,129250,0,-0.11
Design,10/05/2021,31/08/2023,843,722200,469337,0,-0.35
Scope,07/08/2022,20/10/2023,439,104833,177367,1,0.69
Design,26/10/2023,19/03/2024,145,524168,369914,0,-0.29
Scope,18/09/2024,25/09/2024,7,3712,191,0,-0.95
Design,25/09/2024,26/03/2025,182,16704,765,0,-0.95
Scope,15/06/2023,29/06/2023,14,4000,1803,0,-0.55
Design,29/06/2023,27/09/2023,90,18000,7317,0,-0.59
Design,31/10/2018,13/12/2019,408,302586,151799,0,-0.50
Scope,06/03/2022,12/06/2022,98,132263,210963,1,0.60
Design,02/06/2023,15/05/2024,348,661316,481486,0,-0.27
Scope,24/05/2024,18/12/2024,208,69893,131803,1,0.89
Scope,02/09/2023,02/10/2023,30,4873,2631,0,-0.46
Design,02/10/2023,26/04/2023,159,21929,10525,0,-0.52
Scope,14/09/2021,03/06/2023,627,90069,152055,1,0.69
Design,15/03/2023,13/09/2023,182,450345,394832,0,-0.12
Scope,06/06/2023,20/06/2023,14,4580,176,0,-0.96
Design,20/06/2023,30/08/2023,71,20610,705,0,-0.97
Scope,06/02/2021,10/06/2021,124,194245,165982,0,-0.15
Design,18/10/2021,27/04/2022,191,961994,573050,0,-0.40
Construction,18/07/2022,17/01/2025,914,20846287,19159672,0,-0.08
Scope,24/01/2023,11/06/2023,138,175525,170816,0,-0.03
Design,13/12/2023,14/02/2025,429,816709,431479,0,-0.47
Scope,13/08/2024,13/08/2024,1,4217,980,0,-0.77
Design,13/08/2024,02/12/2025,476,18976,3921,0,-0.79
Scope,22/06/2023,12/05/2023,41,95880,270931,1,1.83
Design,14/12/2023,30/04/2024,138,479400,682673,1,0.42
Scope,22/07/2019,19/12/2019,150,103017,130634,1,0.27
Design,30/12/2019,30/06/2020,183,515089,364307,0,-0.29
Construction,21/07/2021,07/08/2025,1478,11589500,11406990,0,-0.02
Scope,16/08/2024,20/08/2024,4,3661,530,0,-0.86
Design,20/08/2024,02/12/2025,469,16474,2120,0,-0.87
Scope,29/05/2024,16/09/2024,110,101048,88506,0,-0.12
Scope,15/02/2023,17/02/2023,2,5007,2582,0,-0.48
Design,17/02/2023,26/04/2023,68,22532,10330,0,-0.54
Scope,17/01/2020,14/04/2020,88,71170,119519,1,0.68
Design,15/04/2020,31/07/2020,107,355850,444558,1,0.25
Construction,28/03/2022,26/03/2024,729,8006626,7409721,0,-0.07
Scope,09/10/2024,13/09/2024,26,3222,383,0,-0.88
Design,13/09/2024,02/12/2025,445,14501,1533,0,-0.89
Scope,13/09/2022,01/05/2023,230,116173,144437,1,0.24
Design,01/11/2023,05/02/2023,269,580866,880422,1,0.52
Scope,06/02/2023,06/12/2023,303,4860,212,0,-0.96
Design,06/12/2023,30/08/2023,98,21870,847,0,-0.96
Scope,17/11/2023,18/07/2024,244,384825,252542,0,-0.34
Design,15/08/2024,19/02/2025,188,1788209,1177687,0,-0.34
Scope,28/02/2013,24/07/2013,146,77238,68901,0,-0.11
Design,21/08/2013,17/04/1938,27520,300370,822951,1,1.74
Scope,13/04/2016,23/02/2017,316,367911,215432,0,-0.41
Design,22/05/2017,15/03/2018,297,1463972,1039386,0,-0.29
Scope,27/04/1943,12/11/2018,27593,362895,250370,0,-0.31
Design,12/12/2018,17/05/2019,156,1451580,1022820,0,-0.30
Scope,18/03/2013,23/08/2013,158,141546,308328,1,1.18
Design,21/04/1930,28/10/2016,31602,566184,627888,1,0.11
Scope,22/06/2023,18/10/2023,118,11105,21064,1,0.90
Design,20/10/2023,29/04/2024,192,49970,93484,1,0.87
Scope,26/01/2016,22/07/2016,178,179797,97253,0,-0.46
Design,13/03/2017,18/05/2018,431,698119,828544,1,0.19
Scope,22/12/2023,13/03/2024,82,10800,16962,1,0.57
Design,15/03/2024,08/02/2024,36,43200,64319,1,0.49
Scope,20/01/2015,20/04/1969,16711,362965,362965,1,0.00
Design,21/12/2016,07/01/2025,2939,956411,956411,1,0.00
Scope,06/05/2019,15/08/2019,101,10700,21776,1,1.04
Design,12/04/2019,30/06/2020,445,48150,90206,1,0.87
Construction,22/07/2024,06/09/2025,411,620600,559086,0,-0.10
Scope,28/05/2024,31/05/2024,3,3941,2928,0,-0.26
Design,31/05/2024,11/06/2024,11,17734,11710,0,-0.34
Scope,28/04/1990,19/12/2017,10097,183712,162802,0,-0.11
Design,25/04/2018,30/09/2022,1619,910025,549395,0,-0.40
Scope,27/07/2023,08/02/2023,169,3886,3557,0,-0.08
Design,08/02/2023,20/12/2023,315,17487,14230,0,-0.19
Scope,07/08/2022,21/08/2023,379,84605,135947,1,0.61
Design,31/08/2023,30/01/2024,152,417512,274774,0,-0.34
Scope,13/12/2023,13/12/2023,1,1049,8656,1,7.25
Design,13/12/2023,30/01/2024,48,4722,1374,0,-0.71
Scope,03/12/2025,13/03/2025,265,2558,1427,0,-0.44
Design,13/03/2025,26/08/2025,166,10232,5706,0,-0.44
Scope,06/06/2022,10/04/2022,57,284352,516844,1,0.82
Design,24/10/2022,28/04/2023,186,1412403,861270,0,-0.39
Scope,03/12/2025,13/03/2025,265,4104,1272,0,-0.69
Design,13/03/2025,26/08/2025,166,16414,5090,0,-0.69
Scope,18/08/2020,01/06/2021,287,71320,112246,1,0.57
Design,01/08/2021,07/02/2021,175,356600,422351,1,0.18
Construction,04/04/2022,04/02/2024,671,8023500,7513952,0,-0.06
Scope,06/09/2022,10/04/2022,149,64303,276261,1,3.30
Design,21/10/2022,25/04/2023,186,316912,468879,1,0.48
Construction,17/07/2023,05/12/2025,872,6732360,6710645,0,0.00
Scope,16/05/2024,20/05/2024,4,3010,3630,1,0.21
Design,20/05/2024,11/06/2024,22,13546,14520,1,0.07
Scope,13/05/2019,10/01/2019,123,159880,149445,0,-0.07
Design,30/10/2019,05/12/2023,1497,799400,455319,0,-0.43
Scope,26/05/2022,26/09/2022,123,203999,268765,1,0.32
Design,28/09/2022,13/04/2023,197,1020000,506479,0,-0.50
Design,17/10/2022,20/03/2023,154,44520,71258,1,0.60
Scope,02/04/2020,06/08/2021,491,5860,8707,1,0.49
Design,06/11/2021,17/11/2021,11,26370,128956,1,3.89
Construction,23/05/2022,28/08/2025,1193,339880,477700,1,0.41
Scope,13/08/2020,16/10/2020,64,79400,91328,1,0.15
Design,19/10/2020,02/05/2021,195,397000,365420,0,-0.08
Scope,01/10/2023,14/06/2023,109,26018,38312,1,0.47
Design,23/06/2023,12/05/2023,42,130091,104422,0,-0.20
Scope,01/04/2024,24/05/2024,53,187421,186031,0,-0.01
Design,20/06/2024,21/11/2024,154,868440,422364,0,-0.51
Scope,25/06/2018,18/12/2018,176,14990,29962,1,1.00
Design,18/12/2018,14/05/2021,878,74950,168757,1,1.25
Scope,30/06/2023,31/10/2023,123,12900,21624,1,0.68
Design,11/01/2023,13/05/2024,488,58050,98797,1,0.70
Scope,03/09/2021,18/11/2021,76,99240,118139,1,0.19
Design,29/11/2021,30/09/2022,305,496200,363049,0,-0.27
Scope,03/10/2023,20/03/2023,197,4966,2190,0,-0.56
Design,20/03/2023,05/02/2023,43,22347,8762,0,-0.61
Scope,01/09/2020,14/09/2021,378,12428,101876,1,7.20
Design,17/11/2021,12/07/2022,237,62138,181473,1,1.92
Scope,24/05/2024,30/10/2024,159,35191,75332,1,1.14
Design,11/05/2024,08/04/2025,332,164223,12307,0,-0.93
Scope,21/03/2023,04/03/2023,17,6424,3783,0,-0.41
Design,04/03/2023,05/02/2023,27,28908,15133,0,-0.48
Scope,03/05/2021,25/08/2022,479,192109,367560,1,0.91
Design,21/09/2022,14/11/2023,419,960550,857497,0,-0.11
Scope,28/06/2023,15/12/2023,170,54028,228866,1,3.24
Design,19/12/2023,05/09/2024,261,267615,399649,1,0.49
Scope,30/07/2024,09/04/2024,112,3452,1338,0,-0.61
Design,09/04/2024,03/05/2025,389,15534,5351,0,-0.66
Scope,30/05/2019,02/05/2020,338,10500,43113,1,3.11
Design,02/06/2020,27/10/2021,512,52500,130687,1,1.49
Scope,26/04/2023,01/12/2024,585,53755,19738,0,-0.63
Design,25/01/2024,03/05/2025,464,250859,135513,0,-0.46
Scope,23/07/2024,30/07/2024,7,3338,1938,0,-0.42
Design,30/07/2024,22/01/2025,176,15021,7751,0,-0.48
Scope,24/02/2021,13/07/2021,139,150490,151559,1,0.01
Design,22/07/2021,10/12/2022,506,752450,754121,1,0.00
Scope,06/04/2019,18/12/2019,256,138929,157018,1,0.13
Design,14/01/2020,30/03/2021,441,694646,441372,0,-0.36
Scope,15/06/2023,10/10/2023,117,10583,21248,1,1.01
Design,10/12/2023,29/04/2024,141,47621,115922,1,1.43
Scope,13/03/2023,21/03/2023,8,5508,1394,0,-0.75
Design,21/03/2023,05/02/2023,44,24786,5577,0,-0.77
Scope,08/12/2020,18/02/2021,72,35350,27177,0,-0.23
Design,03/01/2021,09/10/2021,279,169952,162528,0,-0.04
Design,06/12/2024,25/10/2024,42,99000,59057,0,-0.40
Scope,02/07/2023,31/07/2023,29,74984,87446,1,0.17
Design,15/08/2023,04/07/2025,689,372184,297643,0,-0.20
Scope,14/06/2023,16/10/2023,124,79440,102651,1,0.29
Design,20/10/2023,04/05/2024,197,397197,294586,0,-0.26
Scope,09/05/2024,09/05/2024,1,29252,23318,0,-0.20
Design,09/05/2024,04/07/2025,421,136511,6953,0,-0.95
Scope,28/08/2023,30/08/2023,2,4154,6065,1,0.46
Design,30/08/2023,12/12/2023,104,18693,24262,1,0.30
Scope,06/09/2022,28/09/2022,22,155844,184116,1,0.18
Design,19/10/2022,04/04/2023,167,775746,399471,0,-0.49
Scope,27/09/2023,10/10/2023,13,4404,1302,0,-0.70
Design,10/10/2023,12/12/2023,63,19818,5304,0,-0.73
Design,05/08/2024,13/09/2024,39,54000,92457,1,0.71
Scope,06/04/2021,26/01/2022,295,113560,140680,1,0.24
Design,03/08/2022,05/09/2023,398,567800,460932,0,-0.19
Scope,14/03/2023,21/03/2023,7,6092,1913,0,-0.69
Design,21/03/2023,05/02/2023,44,27414,7651,0,-0.72
Scope,22/07/2021,10/04/2022,262,18888,64013,1,2.39
Design,20/10/2022,05/08/2023,289,94438,322175,1,2.41
Scope,20/05/2025,29/09/2025,132,229479,80656,0,-0.65
Scope,20/05/2025,29/09/2025,132,31872,31872,1,0.00
Scope,16/06/2022,28/12/2022,195,101549,166271,1,0.64
Design,28/12/2022,15/06/2023,169,507749,671502,1,0.32
Scope,06/03/2022,15/09/2022,193,1333540,914322,0,-0.31
Design,16/09/2022,28/04/2023,224,6000930,3087785,0,-0.49
Scope,01/12/2024,22/03/2024,254,3769,603,0,-0.84
Design,22/03/2024,16/07/2024,116,16961,2413,0,-0.86
